Developer,Release,Commits
ColinJolivet,19.2.1,2
ColinJolivet,19.2.2,2
ColinJolivet,20.0.0-next.1,2
ColinJolivet,20.0.0-next.3,2
ColinJolivet,19.2.0,1
ColinJolivet,19.1.8,1
ColinJolivet,20.0.0-next.0,1
ColinJolivet,20.0.0-next.2,2
ColinJolivet,19.1.3,1
ColinJolivet,19.1.6,1
ColinJolivet,19.1.7,1
ColinJolivet,19.1.5,1
ColinJolivet,19.2.0-next.2,1
ColinJolivet,19.2.0-next.1,1
ColinJolivet,19.2.0-next.3,1
ColinJolivet,19.1.4,1
ColinJolivet,19.2.0-next.0,1
ColinJolivet,19.1.2,1
Jens Kuehlers,19.2.3,15
Jens Kuehlers,19.2.0-rc.0,14
Jens Kuehlers,19.2.1,15
Jens Kuehlers,19.2.2,15
Jens Kuehlers,20.0.0-next.1,15
Jens Kuehlers,20.0.0-next.3,15
Jens Kuehlers,19.2.0,15
Jens Kuehlers,19.1.8,15
Jens Kuehlers,20.0.0-next.0,15
Jens Kuehlers,20.0.0-next.2,15
Jens Kuehlers,19.1.3,14
Jens Kuehlers,19.1.6,14
Jens Kuehlers,19.1.7,14
Jens Kuehlers,19.1.5,14
Jens Kuehlers,19.2.0-next.2,14
Jens Kuehlers,19.2.0-next.1,14
Jens Kuehlers,19.2.0-next.3,14
Jens Kuehlers,19.1.4,14
Jens Kuehlers,19.2.0-next.0,14
Jens Kuehlers,19.1.2,13
mgechev,19.2.3,329
mgechev,19.2.0-rc.0,328
mgechev,19.2.1,329
mgechev,19.2.2,329
mgechev,20.0.0-next.1,329
mgechev,20.0.0-next.3,329
mgechev,19.2.0,329
mgechev,19.1.8,329
mgechev,20.0.0-next.0,329
mgechev,20.0.0-next.2,329
mgechev,19.1.3,145
mgechev,19.1.6,147
mgechev,19.1.7,141
mgechev,19.1.5,141
mgechev,19.2.0-next.2,141
mgechev,19.2.0-next.1,138
mgechev,19.2.0-next.3,141
mgechev,19.1.4,150
mgechev,19.2.0-next.0,162
mgechev,19.1.2,150
Aristeidis Bampakos,19.2.3,91
Aristeidis Bampakos,19.2.0-rc.0,90
Aristeidis Bampakos,19.2.1,91
Aristeidis Bampakos,19.2.2,91
Aristeidis Bampakos,20.0.0-next.1,91
Aristeidis Bampakos,20.0.0-next.3,91
Aristeidis Bampakos,19.2.0,91
Aristeidis Bampakos,19.1.8,91
Aristeidis Bampakos,20.0.0-next.0,91
Aristeidis Bampakos,20.0.0-next.2,91
Aristeidis Bampakos,19.1.3,75
Aristeidis Bampakos,19.1.6,75
Aristeidis Bampakos,19.1.7,72
Aristeidis Bampakos,19.1.5,72
Aristeidis Bampakos,19.2.0-next.2,75
Aristeidis Bampakos,19.2.0-next.1,72
Aristeidis Bampakos,19.2.0-next.3,72
Aristeidis Bampakos,19.1.4,79
Aristeidis Bampakos,19.2.0-next.0,84
Aristeidis Bampakos,19.1.2,82
Evgeniy Aksyonov,19.2.3,1
Evgeniy Aksyonov,19.2.1,1
Evgeniy Aksyonov,19.2.2,1
Evgeniy Aksyonov,20.0.0-next.1,1
Evgeniy Aksyonov,20.0.0-next.3,1
Evgeniy Aksyonov,19.2.0,1
Evgeniy Aksyonov,19.1.8,1
Evgeniy Aksyonov,20.0.0-next.0,1
Evgeniy Aksyonov,20.0.0-next.2,1
Charles Lyding,19.2.3,107
Charles Lyding,19.2.0-rc.0,106
Charles Lyding,19.2.1,107
Charles Lyding,19.2.2,107
Charles Lyding,20.0.0-next.1,107
Charles Lyding,20.0.0-next.3,110
Charles Lyding,19.2.0,107
Charles Lyding,19.1.8,106
Charles Lyding,20.0.0-next.0,107
Charles Lyding,20.0.0-next.2,110
Charles Lyding,19.1.3,90
Charles Lyding,19.1.6,90
Charles Lyding,19.1.7,90
Charles Lyding,19.1.5,90
Charles Lyding,19.2.0-next.2,90
Charles Lyding,19.2.0-next.1,89
Charles Lyding,19.2.0-next.3,90
Charles Lyding,19.1.4,90
Charles Lyding,19.2.0-next.0,92
Charles Lyding,19.1.2,88
Trevor Florence,19.2.3,1
Trevor Florence,19.2.1,1
Trevor Florence,19.2.2,1
Trevor Florence,20.0.0-next.1,1
Trevor Florence,20.0.0-next.3,1
Trevor Florence,19.2.0,1
